vertex,dist
0,0.000000
1,14.000000
2,17.000000
3,26.000000
4,9.000000
5,10.000000
6,21.000000
7,10.000000
8,INF
9,10.000000
10,20.000000
11,13.000000
12,28.000000
13,14.000000
14,23.000000
15,13.000000
16,15.000000
17,15.000000
18,6.000000
19,9.000000
20,12.000000
21,15.000000
22,12.000000
23,7.000000
24,11.000000
25,16.000000
26,10.000000
27,9.000000
28,14.000000
29,12.000000
30,8.000000
31,12.000000
32,11.000000
33,14.000000
34,5.000000
35,13.000000
36,14.000000
37,21.000000
38,9.000000
39,8.000000
40,13.000000
41,22.000000
42,14.000000
43,10.000000
44,20.000000
45,13.000000
46,16.000000
47,12.000000
48,14.000000
49,11.000000
50,17.000000
51,11.000000
52,4.000000
53,13.000000
54,21.000000
55,15.000000
56,15.000000
57,20.000000
58,11.000000
59,18.000000
60,4.000000
61,13.000000
62,12.000000
63,8.000000
64,11.000000
65,14.000000
66,14.000000
67,20.000000
68,13.000000
69,8.000000
70,3.000000
71,13.000000
72,9.000000
73,11.000000
74,12.000000
75,9.000000
76,21.000000
77,11.000000
78,14.000000
79,20.000000
80,17.000000
81,18.000000
82,14.000000
83,9.000000
84,16.000000
85,INF
86,12.000000
87,11.000000
88,8.000000
89,13.000000
90,12.000000
91,14.000000
92,10.000000
93,20.000000
94,5.000000
95,12.000000
96,13.000000
97,19.000000
98,15.000000
99,13.000000
